Perimetre,Nature,Date,Heures,Consommation,Thermique,Nucleaire,Eolien,Solaire,Hydraulique,Pompage,Bioenergies,Ech. physiques
Occitanie,Donnees definitives,2018-01-01,00:00,5642,78,1243,964,0,947,-226,94,2543
Occitanie,Donnees definitives,2018-01-01,00:15,,,,,,,,,
Occitanie,Donnees definitives,2018-01-01,00:30,5439,77,1243,900,0,1251,-672,93,2547
Occitanie,Donnees definitives,2018-01-01,00:45,,,,,,,,,
Occitanie,Donnees definitives,2018-01-01,01:00,5215,77,1243,937,0,1193,-671,94,2342
Occitanie,Donnees definitives,2018-01-01,01:15,,,,,,,,,
Occitanie,Donnees definitives,2018-01-01,01:30,5184,77,1246,944,0,940,-672,94,2554
Occitanie,Donnees definitives,2018-01-01,01:45,,,,,,,,,
Occitanie,Donnees definitives,2018-01-01,02:00,5139,77,1245,930,0,945,-672,94,2519
Occitanie,Donnees definitives,2018-01-01,02:15,,,,,,,,,
Occitanie,Donnees definitives,2018-01-01,02:30,5079,75,1242,938,0,929,-684,94,2485
Occitanie,Donnees definitives,2018-01-01,02:45,,,,,,,,,
Occitanie,Donnees definitives,2018-01-01,03:00,4955,75,1202,936,0,928,-683,94,2403
Occitanie,Donnees definitives,2018-01-01,03:15,,,,,,,,,
Occitanie,Donnees definitives,2018-01-01,03:30,4909,77,1211,960,0,974,-260,95,1853
Occitanie,Donnees definitives,2018-01-01,03:45,,,,,,,,,
Occitanie,Donnees definitives,2018-01-01,04:00,4820,76,1200,978,0,899,-261,95,1833
Occitanie,Donnees definitives,2018-01-01,04:15,,,,,,,,,
Occitanie,Donnees definitives,2018-01-01,04:30,4647,75,1211,937,0,838,-271,94,1763
Occitanie,Donnees definitives,2018-01-01,04:45,,,,,,,,,
Occitanie,Donnees definitives,2018-01-01,05:00,4535,75,1209,912,0,824,-271,94,1693
Occitanie,Donnees definitives,2018-01-01,05:15,,,,,,,,,
Occitanie,Donnees definitives,2018-01-01,05:30,4518,77,1214,912,0,819,-680,95,2080
Occitanie,Donnees definitives,2018-01-01,05:45,,,,,,,,,
Occitanie,Donnees definitives,2018-01-01,06:00,4527,77,1217,876,0,818,-842,95,2286
Occitanie,Donnees definitives,2018-01-01,06:15,,,,,,,,,
Occitanie,Donnees definitives,2018-01-01,06:30,4597,77,1218,891,0,877,-884,96,2321
Occitanie,Donnees definitives,2018-01-01,06:45,,,,,,,,,
Occitanie,Donnees definitives,2018-01-01,07:00,4565,77,1199,901,0,885,-886,94,2294
Occitanie,Donnees definitives,2018-01-01,07:15,,,,,,,,,
Occitanie,Donnees definitives,2018-01-01,07:30,4602,77,1201,902,0,890,-872,95,2309
Occitanie,Donnees definitives,2018-01-01,07:45,,,,,,,,,
Occitanie,Donnees definitives,2018-01-01,08:00,4583,77,1204,900,0,897,-872,93,2283
Occitanie,Donnees definitives,2018-01-01,08:15,,,,,,,,,
Occitanie,Donnees definitives,2018-01-01,08:30,4525,77,1198,887,1,957,-871,95,2182
Occitanie,Donnees definitives,2018-01-01,08:45,,,,,,,,,
Occitanie,Donnees definitives,2018-01-01,09:00,4581,77,1203,847,33,1126,-870,94,2071
Occitanie,Donnees definitives,2018-01-01,09:15,,,,,,,,,
Occitanie,Donnees definitives,2018-01-01,09:30,4558,77,1192,770,128,1110,-872,95,2056
Occitanie,Donnees definitives,2018-01-01,09:45,,,,,,,,,
Occitanie,Donnees definitives,2018-01-01,10:00,4568,77,1196,719,242,1106,-870,89,2009
Occitanie,Donnees definitives,2018-01-01,10:15,,,,,,,,,
Occitanie,Donnees definitives,2018-01-01,10:30,4638,77,1209,548,335,903,-867,95,2338
Occitanie,Donnees definitives,2018-01-01,10:45,,,,,,,,,
Occitanie,Donnees definitives,2018-01-01,11:00,4644,77,1210,494,394,889,-867,92,2355
Occitanie,Donnees definitives,2018-01-01,11:15,,,,,,,,,
Occitanie,Donnees definitives,2018-01-01,11:30,4695,77,1201,456,455,893,-867,96,2384
Occitanie,Donnees definitives,2018-01-01,11:45,,,,,,,,,
Occitanie,Donnees definitives,2018-01-01,12:00,4737,77,1207,420,514,908,-865,96,2380
Occitanie,Donnees definitives,2018-01-01,12:15,,,,,,,,,
Occitanie,Donnees definitives,2018-01-01,12:30,4810,77,1208,401,509,985,-865,88,2406
Occitanie,Donnees definitives,2018-01-01,12:45,,,,,,,,,
Occitanie,Donnees definitives,2018-01-01,13:00,4980,77,1200,342,423,1064,-866,94,2644
Occitanie,Donnees definitives,2018-01-01,13:15,,,,,,,,,
Occitanie,Donnees definitives,2018-01-01,13:30,4838,77,1202,309,426,1028,-829,95,2530
Occitanie,Donnees definitives,2018-01-01,13:45,,,,,,,,,
Occitanie,Donnees definitives,2018-01-01,14:00,4805,77,1184,322,307,1266,-626,94,2181
Occitanie,Donnees definitives,2018-01-01,14:15,,,,,,,,,
Occitanie,Donnees definitives,2018-01-01,14:30,4615,77,1238,347,180,1631,-625,96,1671
Occitanie,Donnees definitives,2018-01-01,14:45,,,,,,,,,
Occitanie,Donnees definitives,2018-01-01,15:00,4550,77,1240,406,159,1545,-832,98,1857
Occitanie,Donnees definitives,2018-01-01,15:15,,,,,,,,,
Occitanie,Donnees definitives,2018-01-01,15:30,4618,77,1243,508,104,1463,-827,95,1957
Occitanie,Donnees definitives,2018-01-01,15:45,,,,,,,,,
Occitanie,Donnees definitives,2018-01-01,16:00,4589,77,1246,504,33,1319,-821,94,2137
Occitanie,Donnees definitives,2018-01-01,16:15,,,,,,,,,
Occitanie,Donnees definitives,2018-01-01,16:30,4640,72,1247,585,26,1351,-821,91,2088
Occitanie,Donnees definitives,2018-01-01,16:45,,,,,,,,,
