Perimetre,Nature,Date,Heures,Consommation,Prevision J-1,Prevision J,Fioul,Charbon,Gaz,Nucleaire,Eolien,Solaire,Hydraulique,Pompage,Bioenergies,Ech. physiques,Taux de Co2,Ech. comm. Angleterre,Ech. comm. Espagne,Ech. comm. Italie,Ech. comm. Suisse,Ech. comm. Allemagne-Belgique,Fioul - TAC,Fioul - Cogen.,Fioul - Autres,Gaz - TAC,Gaz - Cogen.,Gaz - CCG,Gaz - Autres,Hydraulique - Fil de l?eau + eclusee,Hydraulique - Lacs,Hydraulique - STEP turbinage,Bioenergies - Dechets,Bioenergies - Biomasse,Bioenergies - Biogaz
France,Donnees consolidees,01/01/2020,00:00,67104,68000,65800,351,32,6502,49227,3716,-1,9072,-88,1209,-2915,41,-1704,-226,-1954,-2267,1763,-2,81,254,4,2359,4042,97,6379,2449,244,540,343,326
France,Donnees consolidees,01/01/2020,00:15,,67300,65300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Donnees consolidees,01/01/2020,00:30,65916,66600,64800,316,12,6394,49437,3571,-1,9554,-85,1165,-4447,39,-1704,-226,-1954,-2267,1763,13,70,216,4,2314,3997,78,6360,3097,97,512,339,314
France,Donnees consolidees,01/01/2020,00:45,,65750,64000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Donnees consolidees,01/01/2020,01:00,63746,64900,63200,301,13,5970,48970,3144,-1,9102,-39,1159,-4873,38,-1704,358,-1867,-2527,1035,13,70,201,4,2320,3568,78,6137,2641,324,512,333,315
France,Donnees consolidees,01/01/2020,01:15,,65200,63500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Donnees consolidees,01/01/2020,01:30,63712,65500,63800,285,14,5364,49648,2924,-1,9093,-50,1158,-4721,35,-1704,358,-1867,-2527,1085,14,70,184,4,2322,2960,78,6069,2532,491,512,332,314
France,Donnees consolidees,01/01/2020,01:45,,65450,63550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Donnees consolidees,01/01/2020,02:00,63213,65400,63300,104,13,5251,49764,2739,-1,8667,-45,1169,-4449,33,-1704,301,-1480,-2463,1668,14,70,3,4,2319,2850,78,6021,2509,138,517,338,314
France,Donnees consolidees,01/01/2020,02:15,,64700,62450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
